#name    x   P(x)
0	0.0319787
0.05	0.0543864
0.1	0.0910315
0.15	0.136379
0.2	0.186087
0.25	0.236715
0.3	0.285483
0.35	0.330075
0.4	0.368491
0.45	0.398928
0.5	0.419693
0.55	0.429141
0.6	0.425633
0.65	0.407514
0.7	0.373107
0.75	0.320711
0.8	0.248621
0.85	0.155146
0.9	0.0386343
0.95	-0.10249
1	-0.269697
1.05	-0.46431
1.1	-0.68747
1.15	-0.940099
1.2	-1.22286
1.25	-1.53612
1.3	-1.87991
1.35	-2.25391
1.4	-2.65741
1.45	-3.08926
1.5	-3.54787
1.55	-4.0312
1.6	-4.5367
1.65	-5.06133
1.7	-5.60155
1.75	-6.15329
1.8	-6.71195
1.85	-7.27243
1.9	-7.82909
1.95	-8.37582
2	-8.90597
2.05	-9.41244
2.1	-9.88769
2.15	-10.3237
2.2	-10.7121
2.25	-11.0442
2.3	-11.3108
2.35	-11.5026
2.4	-11.6099
2.45	-11.623
2.5	-11.5319
2.55	-11.3266
2.6	-10.997
2.65	-10.5331
2.7	-9.92484
2.75	-9.16259
2.8	-8.23676
2.85	-7.13811
2.9	-5.8578
2.95	-4.38739
3	-2.71902
3.05	-0.845376
3.1	1.24014
3.15	3.54341
3.2	6.06947
3.25	8.82246
3.3	11.8056
3.35	15.0209
3.4	18.4696
3.45	22.1514
3.5	26.0649
3.55	30.2076
3.6	34.5753
3.65	39.1627
3.7	43.9629
3.75	48.9675
3.8	54.1667
3.85	59.549
3.9	65.1014
3.95	70.8094
4	76.6568
4.05	82.6257
4.1	88.6969
4.15	94.8493
4.2	101.06
4.25	107.306
4.3	113.561
4.35	119.798
4.4	125.989
4.45	132.104
4.5	138.112
4.55	143.981
4.6	149.678
4.65	155.168
4.7	160.417
4.75	165.388
4.8	170.046
4.85	174.353
4.9	178.271
4.95	181.764
5	184.794
5.05	187.322
5.1	189.312
5.15	190.726
5.2	191.529
5.25	191.685
5.3	191.158
5.35	189.915
5.4	187.925
5.45	185.156
5.5	181.579
5.55	177.167
5.6	171.895
5.65	165.739
5.7	158.679
5.75	150.698
5.8	141.78
5.85	131.912
5.9	121.085
5.95	109.294
6	96.5358
6.05	82.8115
6.1	68.1257
6.15	52.4868
6.2	35.9073
6.25	18.4035
6.3	-0.00417054
6.35	-19.291
6.4	-39.4282
6.45	-60.3826
6.5	-82.1167
6.55	-104.589
6.6	-127.752
6.65	-151.558
6.7	-175.949
6.75	-200.868
6.8	-226.252
6.85	-252.033
6.9	-278.139
6.95	-304.496
7	-331.025
7.05	-357.643
7.1	-384.264
7.15	-410.8
7.2	-437.157
7.25	-463.241
7.3	-488.955
7.35	-514.198
7.4	-538.869
7.45	-562.865
7.5	-586.079
7.55	-608.406
7.6	-629.74
7.65	-649.972
7.7	-668.995
7.75	-686.703
7.8	-702.988
7.85	-717.745
7.9	-730.871
7.95	-742.264
8	-751.822
8.05	-759.45
8.1	-765.054
8.15	-768.542
8.2	-769.828
8.25	-768.83
8.3	-765.471
8.35	-759.678
8.4	-751.383
8.45	-740.527
8.5	-727.054
8.55	-710.918
8.6	-692.076
8.65	-670.496
8.7	-646.152
8.75	-619.026
8.8	-589.11
8.85	-556.401
8.9	-520.91
8.95	-482.653
9	-441.656
9.05	-397.956
9.1	-351.6
9.15	-302.641
9.2	-251.147
9.25	-197.193
9.3	-140.863
9.35	-82.2535
9.4	-21.4701
9.45	41.3719
9.5	106.147
9.55	172.722
9.6	240.95
9.65	310.678
9.7	381.744
9.75	453.976
9.8	527.194
9.85	601.209
9.9	675.824
9.95	750.837
10	826.036
10.05	901.205
10.1	976.121
10.15	1050.55
10.2	1124.27
10.25	1197.04
10.3	1268.61
10.35	1338.74
10.4	1407.19
10.45	1473.7
10.5	1538.04
10.55	1599.94
10.6	1659.16
10.65	1715.45
10.7	1768.57
10.75	1818.28
10.8	1864.34
10.85	1906.51
10.9	1944.57
10.95	1978.3
11	2007.48
11.05	2031.9
11.1	2051.37
11.15	2065.7
11.2	2074.71
11.25	2078.24
11.3	2076.13
11.35	2068.24
11.4	2054.44
11.45	2034.62
11.5	2008.68
11.55	1976.54
11.6	1938.13
11.65	1893.39
11.7	1842.3
11.75	1784.84
11.8	1721.02
11.85	1650.85
11.9	1574.39
11.95	1491.68
